Block,Slot,Epoch,DateTime (UTC),Txn,Fee Recipient,Fee Recipient Nametag,Gas Used,Gas Used(%),% Of Gas Target,Gas Limit,Base Fee,Reward,Burnt Fees (ETH),Burnt Fees (%)
22064834,11280755,352523,2025-03-17 6:31:23,49,0x65fc615b5a150656c7333b4b52bc03281b145c4b,,"20,449,789",57.14%,+14%,"35,789,310",0.402 Gwei,0.00327 ETH,0.008228,71.52%
22064833,11280754,352523,2025-03-17 6:31:11,107,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"10,063,168",28.09%,-44%,"35,824,293",0.425 Gwei,0.18856 ETH,0.004284,2.22%
22064832,11280753,352523,2025-03-17 6:30:59,196,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"33,186,240",92.55%,+85%,"35,859,310",0.384 Gwei,0.01363 ETH,0.012769,48.36%
22064831,11280752,352523,2025-03-17 6:30:47,52,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05,MEV Builder: 0x7e2...D05,"3,153,609",8.79%,-82%,"35,894,362",0.428 Gwei,0.00174 ETH,0.001353,43.68%
22064830,11280751,352523,2025-03-17 6:30:35,66,0xfd225193f80f40053fd1a1548bca6cf0e6577bb4,,"33,094,421",92.11%,+84%,"35,929,448",0.388 Gwei,0.00406 ETH,0.012844,75.96%
22064829,11280750,352523,2025-03-17 6:30:23,152,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"12,899,891",35.94%,-28%,"35,894,396",0.402 Gwei,0.0112 ETH,0.005189,31.65%
22064828,11280749,352523,2025-03-17 6:30:11,174,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"12,457,488",34.74%,-31%,"35,859,379",0.418 Gwei,0.19579 ETH,0.00521,2.59%
22064827,11280748,352523,2025-03-17 6:29:59,171,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"13,583,331",37.84%,-24%,"35,894,431",0.431 Gwei,0.01149 ETH,0.005858,33.77%
22064826,11280747,352523,2025-03-17 6:29:47,79,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"35,841,065",99.95%,+100%,"35,859,414",0.383 Gwei,0.0187 ETH,0.013742,42.36%
22064825,11280746,352523,2025-03-17 6:29:35,77,0xe43cc5b6ff052f5aa931a4f9ef2bfa0c500014ca,Fee Recipient: 0xe43...4CA,"5,983,265",16.67%,-67%,"35,894,466",0.418 Gwei,0.00379 ETH,0.002503,39.72%
22064824,11280745,352523,2025-03-17 6:29:23,80,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"35,923,626",99.98%,+100%,"35,929,552",0.371 Gwei,0.01028 ETH,0.013357,56.50%
22064823,11280744,352523,2025-03-17 6:29:11,122,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"14,130,233",39.37%,-21%,"35,894,500",0.381 Gwei,0.01627 ETH,0.005397,24.91%
22064822,11280743,352523,2025-03-17 6:28:59,118,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"10,602,232",29.51%,-41%,"35,929,586",0.402 Gwei,0.02045 ETH,0.004268,17.27%
22064821,11280742,352523,2025-03-17 6:28:47,170,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,"14,265,451",39.74%,-21%,"35,894,534",0.413 Gwei,0.01727 ETH,0.005894,25.44%
22064820,11280741,352523,2025-03-17 6:28:35,143,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,Titan Builder,"12,747,162",35.48%,-29%,"35,929,620",0.428 Gwei,0.01051 ETH,0.005465,34.20%
